,2020_gdp_ado,2020_gdp_ados,2021_ado_gdp,2021_ados_gdp,2020_ado_inf,2020_inf_ados,2021_ado_inf,2021_ados_inf
Armenia,2.197094051,-3.5,4.499513704,3.5,2.8,1.2,2.2,2.5
Azerbaijan,0.5,-0.1,1.5,1.2,2.5,2.8,3.5,3.5
Georgia,-0.026479153,-5,4.450007787,5,4.5,5,3,3.5
Kazakhstan,1.8,-1.2,3.6,3.4,6,7.9,5.7,6.2
Kyrgyz Republic,4,-5,4.5,4,3.5,7,3,5
Tajikistan,5.5,-3.6,5,7,9,10,8,8.5
Turkmenistan,6,3.2,5.8,5.8,13,8,8,8
Uzbekistan,4.7,1.5,5.8,6.5,13,13,10,10
"Hong Kong, China",-3.3,-6.5,3.5,5.1,2,1.5,2.5,2.5
Mongolia,2.1,-1.9,4.6,4.7,6.6,6.4,7.9,8.2
People's Republic of China,2.257431087,1.8,7.312187295,7.4,3.6,3.3,1.9,1.9
Republic of Korea,1.3,-1,2.3,3.5,0.932809385,0.5,1.329414673,1.329414673
"Taipei,China",1.75,0.8,2.5,3.5,0.4,0.2,0.75,0.75
Afghanistan,3,-4.5,4,3,2.3,5,3.5,4.5
Bangladesh,7.8,4.5,8,7.5,5.6,5.6,5.5,5.5
Bhutan,5.2,2.4,5.8,1.7,3.839102647,2.8,4.014121624,4.014121624
India,4,-4,6.2,5,3,3,3.8,4
Maldives,-3,-11.3,7.5,13.7,1,1,1.2,1.2
Nepal,5.341948422,2.3,6.442363916,3.1,6,6.6,5.5,6.5
Pakistan,2.6,-0.4,3.2,2,11.5,11,8.3,8
Sri Lanka,2.155,-6.1,3.5,4.1,5,4,4.8,4.2
Brunei Darussalam,2.038426013,1.4,2.960960545,3,-0.2,0.4,0.1,0.4
Cambodia,2.283508826,-5.5,5.661286185,5.9,2.146876204,2.146876204,1.807021174,1.807021174
Indonesia,2.5,-1,5,5.3,3,2,2.8,2.8
Lao People’s Dem. Rep.,3.500346686,-0.5,5.992934042,4.5,4,5.5,4.5,5
Malaysia,0.5,-4,5.5,6.5,0.982230206,-1.5,1.343741191,2.5
Myanmar,4.183075182,1.8,6.805035145,6,7.5,6,7.5,6
Philippines,2,-3.8,6.5,6.5,2.2,2.2,2.4,2.4
Singapore,0.2,-6,2,3.2,0.7,-0.2,1.3,0.8
Thailand,-4.8,-6.5,2.5,3.5,-0.9,-1.3,0.4,0.7
Timor-Leste,-1.998283422,-3.7,4.002669325,4.002669325,1.3,1.3,1.8,1.8
Viet Nam,4.8,4.1,6.8,6.8,3.3,3,3.5,3.5
Cook Islands,-2.236445783,-9,0.997458215,-15.4,1.5,1.5,1.7,1.7
Federated States of Micronesia,1.6,-2,3,-1.5,0.5,0.5,1,1
Fiji,-4.938627203,-15,2.980175277,-0.7,1.5,1.2,3.5,3
Kiribati,1.6,0.6,1.8,1.8,1,1,1.1,1.1
Marshall Islands,2.500728147,-5.5,3.699999454,-1.4,0.29830332,0.29830332,0.481393945,0.481393945
Nauru,0.4,-1.675,1.1,0.8,2.8,1.5,2.3,1.7
Niue,,,,,,,,
Palau,-4.492158198,-9.5,1.18228652,-12.8,0.351846978,0.4,0.792982869,0.8
Papua New Guinea,0.80821084,-1.5,2.785334407,2.9,3.3,3.3,4.4,4.4
Samoa,-3.00040394,-5,0.849586648,-2,2,2.8,2.5,2.5
Solomon Islands,1.542076102,-6,2.65235018,2.471506105,1.988782862,4.476328309,2.340363948,3.027126099
Tonga,0,-3,2.5,-4,1.3,1.3,2.2,1.8
Tuvalu,2.7,2,3.2,2.5,3.5,3,3.5,3
Vanuatu,-0.98614813,-9.814626299,2.464036043,1.958677935,1.484487583,3.998798858,1.987383365,2.207546655
